datetime,weekday,weekend,location1,location2,device_type,SSID,RSSI,ping_ms,download_Mbps,upload_Mbps,packet_loss_rate,ping_jitter_ms,ap_code,client,floor_client,building_client
2025-11-14 20:45,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.81,71.6,115.8,0,0.34,CLIENT_AP_B2F0155121,2,128,520
2025-11-14 20:47,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.66,83.61,119.95,0,0.28,CLIENT_AP_B2F0155121,3,128,511
2025-11-14 20:49,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,3.92,85.41,123.27,0,8.13,CLIENT_AP_B2F0155121,3,128,511
2025-11-14 20:51,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.71,80.35,118.15,0,0.2,CLIENT_AP_B2F0155121,2,123,511
2025-11-14 20:55,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.76,86.73,121.26,0,0.17,CLIENT_AP_B2F0155121,2,123,511
2025-11-14 20:57,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-63,1.89,85.68,113.76,0,0.87,CLIENT_AP_B2F0155121,2,111,488
2025-11-14 21:03,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.94,90.77,110.35,0,0.46,CLIENT_AP_B2F0155121,1,101,500
2025-11-14 21:05,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.86,79.88,119.68,0,0.26,CLIENT_AP_B2F0155121,1,101,500
2025-11-14 21:07,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,2.02,78.81,118.67,0,2.21,CLIENT_AP_B2F0155121,1,100,470
2025-11-14 21:09,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.74,83.98,107.12,0,0.29,CLIENT_AP_B2F0155121,1,100,470
2025-11-14 21:13,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-63,4.58,91.6,120.33,0,5.34,CLIENT_AP_B2F0155121,3,98,454
2025-11-14 21:15,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.82,86.55,117.12,0,0.56,CLIENT_AP_B2F0155121,3,98,454
2025-11-14 21:17,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.78,86.89,103.2,0,0.17,CLIENT_AP_B2F0155121,3,97,452
2025-11-14 21:19,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.86,106.3,124.8,0,0.07,CLIENT_AP_B2F0155121,3,97,452
2025-11-14 21:21,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.93,93.35,113.06,0,0.21,CLIENT_AP_B2F0155121,2,96,442
2025-11-14 21:25,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.77,93.78,125.14,0,0.22,CLIENT_AP_B2F0155121,2,96,442
2025-11-14 21:27,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,2.46,99.25,126.33,0,5.01,CLIENT_AP_B2F0155121,2,87,431
2025-11-14 21:29,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.78,93.04,116.05,0,1.01,CLIENT_AP_B2F0155121,2,87,431
2025-11-14 21:31,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.86,97.14,121.63,0,0.84,CLIENT_AP_B2F0155121,2,87,423
2025-11-14 21:33,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.67,57.53,105.91,0,0.1,CLIENT_AP_B2F0155121,2,87,423
2025-11-14 21:35,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.73,94.37,134.34,0,0.37,CLIENT_AP_B2F0155121,2,87,423
2025-11-14 21:37,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,3.39,100.92,96.58,0,4.95,CLIENT_AP_B2F0155121,2,86,420
2025-11-14 21:39,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.85,95.69,130.43,0,16.4,CLIENT_AP_B2F0155121,2,86,420
2025-11-14 21:43,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.83,105.38,128.61,0,1.17,CLIENT_AP_B2F0155121,2,89,425
2025-11-14 21:45,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.83,101.32,128.36,0,0.09,CLIENT_AP_B2F0155121,2,89,425
2025-11-14 21:49,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,2.01,96.98,122.54,0,0.61,CLIENT_AP_B2F0155121,2,87,409
2025-11-14 21:51,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.81,99.32,129.49,0,0.09,CLIENT_AP_B2F0155121,2,83,399
2025-11-14 21:53,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.67,104.02,131.15,0,0.49,CLIENT_AP_B2F0155121,2,83,399
2025-11-14 21:55,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,2.52,94.62,129.13,0,1.63,CLIENT_AP_B2F0155121,2,83,399
2025-11-14 21:59,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.93,91.57,125.57,0,0.47,CLIENT_AP_B2F0155121,2,83,387
2025-11-14 22:01,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.67,94.13,128.44,0,0.38,CLIENT_AP_B2F0155121,3,80,373
2025-11-14 22:03,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.99,91.23,127.05,0,0.45,CLIENT_AP_B2F0155121,3,80,373
2025-11-14 22:05,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.78,83.75,126.38,0,0.17,CLIENT_AP_B2F0155121,3,80,373
2025-11-14 22:07,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.77,96.03,125.13,0,0.2,CLIENT_AP_B2F0155121,2,68,359
2025-11-14 22:11,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.8,94.54,127.03,0,0.75,CLIENT_AP_B2F0155121,2,67,351
2025-11-14 22:13,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.75,94.4,125.44,0,0.14,CLIENT_AP_B2F0155121,2,67,351
2025-11-14 22:15,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,2.08,91.45,132.69,0,0.28,CLIENT_AP_B2F0155121,2,67,351
2025-11-14 22:17,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.95,97.02,130.39,0,2.77,CLIENT_AP_B2F0155121,2,62,335
2025-11-14 22:19,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.68,92.85,127.06,0,0.12,CLIENT_AP_B2F0155121,2,62,335
2025-11-14 22:21,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,2,100.33,128.9,0,0.56,CLIENT_AP_B2F0155121,2,62,331
2025-11-14 22:23,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.66,99.63,138.14,0,0.16,CLIENT_AP_B2F0155121,2,62,331
2025-11-14 22:25,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.82,94.56,124.59,0,0.25,CLIENT_AP_B2F0155121,2,62,331
2025-11-14 22:27,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.89,95.86,132.87,0,0.14,CLIENT_AP_B2F0155121,2,62,318
2025-11-14 22:29,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.79,93.42,137.32,0,0.4,CLIENT_AP_B2F0155121,2,62,318
2025-11-14 22:31,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.92,95.43,120.47,0,0.15,CLIENT_AP_B2F0155121,3,57,302
2025-11-14 22:33,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.84,96.6,131.69,0,0.28,CLIENT_AP_B2F0155121,3,57,302
2025-11-14 22:35,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,3.88,96.53,128.03,0,5.02,CLIENT_AP_B2F0155121,3,57,302
2025-11-14 22:37,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,2.03,97.52,131.19,0,0.33,CLIENT_AP_B2F0155121,2,56,294
2025-11-14 22:39,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.69,99.69,126.5,0,0.28,CLIENT_AP_B2F0155121,2,56,294
2025-11-14 22:41,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.98,100.83,129.44,0,0.27,CLIENT_AP_B2F0155121,3,53,276
2025-11-14 22:43,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,2.08,96.56,133.96,0,6.82,CLIENT_AP_B2F0155121,3,53,276
2025-11-14 22:45,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,3.09,91.7,129.2,0,2.15,CLIENT_AP_B2F0155121,3,53,276
2025-11-14 22:47,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.91,98.91,132.98,0,0.36,CLIENT_AP_B2F0155121,4,38,249
2025-11-14 22:49,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.8,94.8,141.84,0,2.94,CLIENT_AP_B2F0155121,4,38,249
2025-11-14 22:51,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.54,98.66,137.03,,0.16,CLIENT_AP_B2F0155121,3,32,243
2025-11-14 22:53,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.55,100.29,138.55,0,0.21,CLIENT_AP_B2F0155121,3,32,243
2025-11-14 22:55,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-68,1.82,95.05,134.76,0,0.14,CLIENT_AP_B2F0155121,3,32,243
2025-11-14 22:57,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,2.24,87.72,141.03,0,0.37,CLIENT_AP_B2F0155121,4,15,221
2025-11-14 22:59,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-68,1.82,96.66,141.76,0,8.63,CLIENT_AP_B2F0155121,4,15,221
2025-11-14 23:01,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-68,1.7,97.19,139.22,0,0.31,CLIENT_AP_B2F0155121,3,9,197
2025-11-14 23:03,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-68,1.89,98.19,140.27,0,0.21,CLIENT_AP_B2F0155121,3,9,197
2025-11-14 23:05,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-68,1.72,98.93,139.13,0,0.5,CLIENT_AP_B2F0155121,3,9,197
2025-11-14 23:07,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-68,1.68,99.47,142.07,0,0.1,CLIENT_AP_B2F0155121,3,6,177
2025-11-14 23:09,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-68,1.62,96.1,139.63,0,0.36,CLIENT_AP_B2F0155121,3,6,177
2025-11-14 23:11,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-68,1.54,99.96,138.54,0,2.21,CLIENT_AP_B2F0155121,3,4,168
2025-11-14 23:13,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.69,100.31,143.88,0,0.72,CLIENT_AP_B2F0155121,3,4,168
2025-11-14 23:15,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.92,97.46,142.61,0,0.15,CLIENT_AP_B2F0155121,3,4,168
2025-11-14 23:17,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.86,100.27,143.08,0,0.28,CLIENT_AP_B2F0155121,3,4,166
2025-11-14 23:19,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.93,104.7,143.68,0,0.22,CLIENT_AP_B2F0155121,3,4,166
2025-11-14 23:21,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.66,98.8,142.87,0,0.46,CLIENT_AP_B2F0155121,3,4,173
2025-11-14 23:23,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.68,101.69,139.86,0,0.41,CLIENT_AP_B2F0155121,3,4,173
2025-11-14 23:25,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.7,104.39,138.35,0,0.1,CLIENT_AP_B2F0155121,3,4,173
2025-11-14 23:27,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.83,103.64,143.27,0,2.5,CLIENT_AP_B2F0155121,3,4,165
2025-11-14 23:29,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-66,1.77,101.91,144.74,0,0.09,CLIENT_AP_B2F0155121,3,4,165
2025-11-14 23:31,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.74,100.47,141.54,0,0.2,CLIENT_AP_B2F0155121,3,4,164
2025-11-14 23:33,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.7,102.97,143.42,0,0.23,CLIENT_AP_B2F0155121,3,4,164
2025-11-14 23:35,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.85,102.75,141.91,0,0.18,CLIENT_AP_B2F0155121,3,4,164
2025-11-14 23:37,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.67,101.14,141.39,0,0.12,CLIENT_AP_B2F0155121,3,4,160
2025-11-14 23:39,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.97,107.02,146.04,0,0.18,CLIENT_AP_B2F0155121,3,4,160
2025-11-14 23:41,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.69,97.66,143.18,0,0.16,CLIENT_AP_B2F0155121,3,4,164
2025-11-14 23:43,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.59,107.3,145.06,0,0.12,CLIENT_AP_B2F0155121,3,4,164
2025-11-14 23:45,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.98,102.49,140.82,0,0.12,CLIENT_AP_B2F0155121,3,4,164
2025-11-14 23:47,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,2.34,102.1,142.1,0,0.98,CLIENT_AP_B2F0155121,3,4,150
2025-11-14 23:49,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.63,105.77,144.32,0,0.14,CLIENT_AP_B2F0155121,3,4,150
2025-11-14 23:51,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.73,101.48,143.73,0,0.13,CLIENT_AP_B2F0155121,3,4,154
2025-11-14 23:53,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.99,103.5,144.2,0,0.19,CLIENT_AP_B2F0155121,3,4,154
2025-11-14 23:55,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.84,98.71,143.08,0,0.15,CLIENT_AP_B2F0155121,3,4,154
2025-11-14 23:57,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.72,103.36,143.03,0,0.12,CLIENT_AP_B2F0155121,3,5,66
2025-11-14 23:59,5,0,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-67,1.82,99.66,136.72,0,0.12,CLIENT_AP_B2F0155121,3,5,66
2025-11-15 7:01,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,2.11,98.43,147.55,0,0.62,CLIENT_AP_B2F0155121,3,6,69
2025-11-15 7:03,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.74,101.64,145.14,0,0.08,CLIENT_AP_B2F0155121,3,6,69
2025-11-15 7:05,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.9,99.05,145.09,0,0.34,CLIENT_AP_B2F0155121,3,6,69
2025-11-15 7:07,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.73,106.35,140.39,0,0.21,CLIENT_AP_B2F0155121,3,6,69
2025-11-15 7:09,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.79,105.03,147.44,0,0.23,CLIENT_AP_B2F0155121,3,6,69
2025-11-15 7:11,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-66,1.85,102.21,147.51,0,0.14,CLIENT_AP_B2F0155121,3,6,71
2025-11-15 7:13,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.78,102.66,147.57,0,0.15,CLIENT_AP_B2F0155121,3,6,71
2025-11-15 7:15,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.84,102.54,146.7,0,0.24,CLIENT_AP_B2F0155121,3,6,71
2025-11-15 7:17,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.95,103.22,142.52,0,0.32,CLIENT_AP_B2F0155121,3,6,67
2025-11-15 7:19,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.88,104.46,147.73,0,0.25,CLIENT_AP_B2F0155121,3,6,67
2025-11-15 7:21,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.67,103.56,146.51,0,0.15,CLIENT_AP_B2F0155121,3,6,67
2025-11-15 7:23,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-65,1.88,113.38,146.06,,0.25,CLIENT_AP_B2F0155121,3,6,67
2025-11-15 7:27,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.76,122.06,146.05,,0.08,CLIENT_AP_B2F0155121,3,8,67
2025-11-15 7:29,6,1,"(36.369872, 127.346647)",도서관B2,라즈베리파이,CNU WiFi,-64,1.89,114.7,137.88,0,0.52,CLIENT_AP_B2F0155121,3,8,67
